Precinct,N1P,N2P,N3P,N4P,N5P,N6P,N7P,N8P,N9P,N10P,N11P,N12P,N13P,N14P,N15P,N16P,N17P,N18P,N19P,N20P,N1I,N2I,N3I,N4I,N5I,N6I,N7I,N8I,N9I,N10I,N11I,N12I,N13I,N14I,N15I,N16I,N17I,N18I,N19I,N20I,precinct_pop
Central,5416,21179,2478,6878,26049,9400,5645,1790,0,13946,0,0,851,0,0,0,0,0,0,0,72750,71870,93462,55525,73560,30417,31332,72654,0,37647,0,0,41750,0,0,0,0,0,0,0,93632
West LA,24489,31896,13783,0,6156,25745,13087,6918,0,0,28811,4037,0,854,0,30777,0,55143,0,0,198491,177682,136383,0,182068,164806,125641,172044,0,0,175891,109357,0,372671,0,100453,0,115253,0,0,241696
Newton,9400,365,13496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30417,24416,37647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23261
Van Nuys,129,49318,55755,96658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109053,114692,61505,59167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201860
West Valley,33804,27759,0,43055,41136,24524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113816,85800,0,92524,91070,111710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170278
Southeast,9393,29812,0,24945,0,0,0,0,0,47237,0,0,0,0,0,0,0,0,0,0,43388,23702,0,70379,0,0,0,0,0,43860,0,0,0,0,0,0,0,0,0,0,111387
Olympic,123080,20660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48064,48626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143740
77th Street,0,6123,10480,36102,0,22522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69811,72800,55397,0,47492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75227
Mission,22065,41956,18820,53082,69575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94574,89811,84954,54052,82553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205498
Pacific,23935,13863,45228,0,13081,91937,1630,28965,29918,0,0,0,0,0,0,0,0,0,0,0,87109,57763,105301,0,114377,130561,119136,124315,145421,0,0,0,0,0,0,0,0,0,0,0,248557
Hollenbeck,0,107406,38853,0,2515,0,29087,4286,22675,38790,0,0,3634,0,0,0,0,0,0,0,0,59799,75396,0,133608,0,59604,84926,82211,41042,0,0,49185,0,0,0,0,0,0,0,247246
Devonshire,39251,41057,43055,17102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108221,122333,92524,145595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140465
Southwest,17466,16240,0,0,0,30390,24511,3345,0,18831,0,24214,4581,0,0,0,0,0,0,0,52072,57984,0,0,0,51846,55502,76827,0,25484,0,66646,31719,0,0,0,0,0,0,0,139578
Rampart,18166,61535,21344,0,0,38790,12438,0,90526,0,0,0,0,0,0,0,0,0,0,0,32461,77282,32224,0,0,41042,30123,0,45252,0,0,0,0,0,0,0,0,0,0,0,242799
Topanga,26203,34273,31952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72056,131057,76857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92428
Foothill,0,11707,61844,14453,71552,6039,20407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77639,67759,97617,63403,94146,83644,0,0,0,0,0,0,0,0,0,0,0,0,0,186002
Northeast,13897,2537,33790,48165,0,2736,7184,0,0,34625,57152,70000,33251,29670,0,0,0,0,0,0,73360,59550,111826,47004,0,71885,72942,0,0,85544,84970,78083,67549,90387,0,0,0,0,0,0,333007
Wilshire,20660,0,3175,0,13166,144670,10319,8187,0,0,43450,303239,0,0,0,0,0,0,5209,0,48626,0,128834,0,117982,59870,132228,83479,0,0,69850,63587,0,0,0,0,0,0,156086,0,552075
Hollywood,0,0,48165,0,48167,48569,15089,20020,0,60430,0,0,0,0,4976,0,0,0,0,0,0,0,47004,0,50857,132940,60752,40241,0,61540,0,0,0,0,39897,0,0,0,0,0,245416
Harbor,26330,24945,69145,0,57734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76325,70379,74060,0,56443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178154
N Hollywood,0,64708,21596,0,3267,0,0,55755,17596,0,0,0,0,0,0,0,0,0,0,0,0,56579,117399,0,109044,0,0,61505,80927,0,0,0,0,0,0,0,0,0,0,0,162922